execution_time,side,quantity,price,product,profit
2021-12-31 23:45:00+01:00,buy,0.5,52.18,2022-01-01 01:00:00+01:00,-26.09
2021-12-31 23:45:00+01:00,buy,0.5,55.08,2022-01-01 02:00:00+01:00,-27.54
2021-12-31 23:45:00+01:00,buy,0.078327732,56.45,2022-01-01 09:00:00+01:00,-4.4216004714
2021-12-31 23:45:00+01:00,sell,0.5,70.68,2022-01-01 12:00:00+01:00,35.34
2021-12-31 23:45:00+01:00,sell,0.42736185,66.69,2022-01-01 13:00:00+01:00,28.5007617765
2022-01-01 00:00:00+01:00,buy,4.5009918e-10,66.69,2022-01-01 13:00:00+01:00,-3.0017114314199996e-08
2022-01-01 00:45:00+01:00,sell,0.5,58.14,2022-01-01 01:00:00+01:00,29.07
2022-01-01 00:45:00+01:00,sell,0.5,61.7,2022-01-01 02:00:00+01:00,30.85
2022-01-01 00:45:00+01:00,buy,0.5,55.92,2022-01-01 07:00:00+01:00,-27.96
2022-01-01 00:45:00+01:00,sell,0.42736185,68.77,2022-01-01 08:00:00+01:00,29.389674424499997
2022-01-01 00:45:00+01:00,sell,0.078327732,62.68,2022-01-01 09:00:00+01:00,4.90958224176
2022-01-01 00:45:00+01:00,buy,0.078327732,57.24,2022-01-01 10:00:00+01:00,-4.48347937968
2022-01-01 00:45:00+01:00,buy,0.5,53.42,2022-01-01 11:00:00+01:00,-26.71
2022-01-01 00:45:00+01:00,buy,0.42736185,62.1,2022-01-01 13:00:00+01:00,-26.539170885
2022-01-01 01:00:00+01:00,buy,4.5009918e-10,68.77,2022-01-01 08:00:00+01:00,-3.09533206086e-08
2022-01-01 01:00:00+01:00,sell,4.5009918e-10,62.1,2022-01-01 13:00:00+01:00,2.7951159078e-08
2022-01-01 01:45:00+01:00,buy,0.078327732,55.34,2022-01-01 03:00:00+01:00,-4.33465668888
2022-01-01 01:45:00+01:00,sell,0.06736185,65.98,2022-01-01 04:00:00+01:00,4.444534863
2022-01-01 01:45:00+01:00,buy,0.5,53.64,2022-01-01 06:00:00+01:00,-26.82
2022-01-01 01:45:00+01:00,sell,0.5,57.71,2022-01-01 07:00:00+01:00,28.855
2022-01-01 01:45:00+01:00,buy,0.92736185,52.56,2022-01-01 08:00:00+01:00,-48.742138836
2022-01-01 01:45:00+01:00,sell,0.078327732,60.83,2022-01-01 10:00:00+01:00,4.76467593756
2022-01-01 01:45:00+01:00,sell,0.86,65.14,2022-01-01 11:00:00+01:00,56.0204
