day,profit,cycles
2022-01-01 00:00:00+01:00,469.4052588016887,0.999999999999997
2022-01-02 00:00:00+01:00,668.8745036526886,1.999999999999996
2022-01-03 00:00:00+01:00,837.1460911181805,3.000000000000802
2022-01-04 00:00:00+01:00,829.4551007311438,4.000000000000001
2022-01-05 00:00:00+01:00,856.2044882798634,4.999999999999998
2022-01-06 00:00:00+01:00,900.5893340659238,6.0
2022-01-07 00:00:00+01:00,837.2548769119833,6.999999999999997
2022-01-08 00:00:00+01:00,877.5941420672561,7.999999999999994
2022-01-09 00:00:00+01:00,642.9712749796518,9.000000000000018
2022-01-10 00:00:00+01:00,643.3737915104641,10.000000000000307
2022-01-11 00:00:00+01:00,745.3900971739298,11.000000000001013
2022-01-12 00:00:00+01:00,621.0643347464479,11.999999999999993
2022-01-13 00:00:00+01:00,752.020857091097,13.0
2022-01-14 00:00:00+01:00,833.8824145897568,13.999999999999998
2022-01-15 00:00:00+01:00,922.489327362804,15.000000000000048
2022-01-16 00:00:00+01:00,762.1980688982533,15.999999999999993
2022-01-17 00:00:00+01:00,637.5896599968839,16.999999999999968
2022-01-18 00:00:00+01:00,767.871094323757,17.999999999999996
2022-01-19 00:00:00+01:00,720.4716627892097,19.000000000000007
2022-01-20 00:00:00+01:00,683.7570975072495,19.999999999999993
2022-01-21 00:00:00+01:00,719.5922045961358,21.0
2022-01-22 00:00:00+01:00,732.5189467373103,21.999999999999996
2022-01-23 00:00:00+01:00,875.4497218145104,22.999999999999996
2022-01-24 00:00:00+01:00,745.7633116218511,23.999999999999996
2022-01-25 00:00:00+01:00,790.4102507295843,25.0
2022-01-26 00:00:00+01:00,770.013495047782,26.000000000000025
2022-01-27 00:00:00+01:00,742.2735481350367,27.0
2022-01-28 00:00:00+01:00,942.9706948092644,27.999999999999996
2022-01-29 00:00:00+01:00,765.3776170047173,28.999999999999996
2022-01-30 00:00:00+01:00,881.6890253766078,29.999999999999996
2022-01-31 00:00:00+01:00,687.2240748426734,31.0
2022-02-01 00:00:00+01:00,852.6832101748694,32.0
2022-02-02 00:00:00+01:00,908.1144628125953,33.00000000000001
2022-02-03 00:00:00+01:00,768.7545819521395,33.99999999999999
