execution_time,side,quantity,price,product,profit
2022-01-23 16:00:00+01:00,buy,0.5,47.55,2022-01-24 01:00:00+01:00,-5.94375
2022-01-23 16:00:00+01:00,sell,0.43000000000000044,64.19,2022-01-24 01:15:00+01:00,6.9004250000000065
2022-01-23 16:00:00+01:00,buy,0.5,34.52,2022-01-24 01:30:00+01:00,-4.315
2022-01-23 16:00:00+01:00,buy,0.5,46.94,2022-01-24 02:00:00+01:00,-5.8675
2022-01-23 16:00:00+01:00,sell,0.14999999999999955,61.91,2022-01-24 02:30:00+01:00,2.321624999999993
2022-01-23 16:00:00+01:00,buy,0.5,39.83,2022-01-24 03:15:00+01:00,-4.97875
2022-01-23 16:00:00+01:00,buy,0.5,29.75,2022-01-24 03:30:00+01:00,-3.71875
2022-01-23 16:00:00+01:00,buy,0.5,51.85,2022-01-24 03:45:00+01:00,-6.48125
2022-01-23 16:00:00+01:00,sell,0.5,97.02,2022-01-24 04:00:00+01:00,12.1275
2022-01-23 16:00:00+01:00,sell,0.5,82.41,2022-01-24 04:45:00+01:00,10.30125
2022-01-23 16:00:00+01:00,sell,0.5,75.2,2022-01-24 05:15:00+01:00,9.4
2022-01-23 16:00:00+01:00,sell,0.5,93.21,2022-01-24 05:45:00+01:00,11.65125
2022-01-23 16:00:00+01:00,buy,0.5,50.63,2022-01-24 06:45:00+01:00,-6.32875
2022-01-23 16:00:00+01:00,buy,0.08139534883720938,52.59,2022-01-24 09:00:00+01:00,-1.0701453488372104
2022-01-23 16:00:00+01:00,sell,0.5,98.99,2022-01-24 09:15:00+01:00,12.37375
2022-01-23 16:15:00+01:00,sell,2.7755575615628914e-16,82.03,2022-01-24 01:15:00+01:00,5.691974669375099e-15
2022-01-23 16:15:00+01:00,sell,0.5,79.92,2022-01-24 02:15:00+01:00,9.99
2022-01-23 16:15:00+01:00,buy,0.16279069767439552,48.67,2022-01-24 02:45:00+01:00,-1.9807558139532075
2022-01-23 16:15:00+01:00,buy,0.5,36.78,2022-01-24 04:30:00+01:00,-4.5975
2022-01-23 16:15:00+01:00,buy,0.5,43.1,2022-01-24 05:00:00+01:00,-5.3875
2022-01-23 16:15:00+01:00,sell,0.5,50.63,2022-01-24 06:45:00+01:00,6.32875
2022-01-23 16:15:00+01:00,sell,0.08139534883720938,52.59,2022-01-24 09:00:00+01:00,1.0701453488372104
2022-01-23 16:30:00+01:00,sell,0.4300000000000175,94.15,2022-01-24 01:45:00+01:00,10.121125000000411
2022-01-23 16:30:00+01:00,buy,0.3005526018016905,79.92,2022-01-24 02:15:00+01:00,-6.005040983997777
2022-01-23 16:30:00+01:00,sell,0.16279069767439552,48.67,2022-01-24 02:45:00+01:00,1.9807558139532075
2022-01-23 16:30:00+01:00,buy,0.3133109281375461,43.84,2022-01-24 06:00:00+01:00,-3.4338877723875054
2022-01-23 16:45:00+01:00,buy,1.7041923427996153e-14,94.15,2022-01-24 01:45:00+01:00,-4.011242726864595e-13
2022-01-23 16:45:00+01:00,sell,0.2680844206996822,56.75,2022-01-24 04:30:00+01:00,3.803447718676741
2022-01-23 16:45:00+01:00,buy,1.0,22.53,2022-01-24 04:45:00+01:00,-5.6325
2022-01-23 16:45:00+01:00,sell,1.0,92.01,2022-01-24 05:00:00+01:00,23.0025
2022-01-23 16:45:00+01:00,sell,0.23191557930031736,43.84,2022-01-24 06:00:00+01:00,2.5417947491314785
2022-01-23 16:45:00+01:00,buy,0.5,42.55,2022-01-24 08:45:00+01:00,-5.31875
2022-01-23 17:00:00+01:00,sell,7.038813976123492e-14,62.45,2022-01-24 01:30:00+01:00,1.0989348320222803e-12
2022-01-23 17:00:00+01:00,sell,0.08055260180174072,83.89,2022-01-24 03:00:00+01:00,1.6893894412870072
2022-01-23 17:00:00+01:00,buy,0.5,26.48,2022-01-24 04:15:00+01:00,-3.31
2022-01-23 17:00:00+01:00,sell,0.2319155793003178,56.75,2022-01-24 04:30:00+01:00,3.290302281323259
2022-01-23 17:00:00+01:00,buy,0.5,42.95,2022-01-24 05:15:00+01:00,-5.36875
2022-01-23 17:00:00+01:00,sell,0.08139534883722871,33.31,2022-01-24 06:00:00+01:00,0.6778197674420221
2022-01-23 17:00:00+01:00,sell,0.4194473981984173,61.56,2022-01-24 06:30:00+01:00,6.455295458273643
2022-01-23 17:00:00+01:00,buy,0.31331092813768785,30.93,2022-01-24 08:00:00+01:00,-2.4226767518246715
2022-01-23 17:00:00+01:00,sell,0.5,36.26,2022-01-24 08:45:00+01:00,4.5325
2022-01-23 17:15:00+01:00,buy,0.9300000000000007,25.68,2022-01-24 01:15:00+01:00,-5.970600000000005
2022-01-23 17:15:00+01:00,buy,0.43000000000000044,41.79,2022-01-24 01:45:00+01:00,-4.492425000000004
2022-01-23 17:15:00+01:00,buy,0.19944739819830948,61.98,2022-01-24 02:15:00+01:00,-3.090437435082805
2022-01-23 17:15:00+01:00,buy,0.14999999999999955,78.62,2022-01-24 02:30:00+01:00,-2.9482499999999914
2022-01-23 17:15:00+01:00,buy,1.3877787807814457e-17,83.89,2022-01-24 03:00:00+01:00,-2.910519047993887e-16
2022-01-23 17:15:00+01:00,sell,0.12889479639655332,83.89,2022-01-24 03:00:00+01:00,2.7032461174267146
2022-01-23 17:15:00+01:00,sell,0.5,95.35,2022-01-24 04:30:00+01:00,11.91875
2022-01-23 17:15:00+01:00,sell,1.0,96.5,2022-01-24 04:45:00+01:00,24.125
2022-01-23 17:15:00+01:00,buy,0.5,46.93,2022-01-24 05:45:00+01:00,-5.86625
2022-01-23 17:15:00+01:00,buy,0.4194473981984173,61.56,2022-01-24 06:30:00+01:00,-6.455295458273643
2022-01-23 17:15:00+01:00,sell,0.5,98.99,2022-01-24 07:30:00+01:00,12.37375
2022-01-23 17:15:00+01:00,sell,7.138734048339757e-14,30.93,2022-01-24 08:00:00+01:00,5.520026102878717e-13
2022-01-23 17:15:00+01:00,sell,0.5,96.32,2022-01-24 09:30:00+01:00,12.04
2022-01-23 17:30:00+01:00,sell,0.5,73.93,2022-01-24 03:30:00+01:00,9.24125
2022-01-23 17:30:00+01:00,buy,0.4999999999999993,35.62,2022-01-24 07:45:00+01:00,-4.4524999999999935
2022-01-23 17:30:00+01:00,sell,0.5,83.81,2022-01-24 09:00:00+01:00,10.47625
2022-01-23 17:30:00+01:00,buy,0.5,67.29,2022-01-24 09:15:00+01:00,-8.41125
2022-01-23 17:45:00+01:00,sell,0.5,88.7,2022-01-24 02:45:00+01:00,11.0875
2022-01-23 17:45:00+01:00,buy,0.20944739819829405,43.67,2022-01-24 03:00:00+01:00,-2.2866419698298754
2022-01-23 17:45:00+01:00,buy,0.5,26.74,2022-01-24 04:00:00+01:00,-3.3425
2022-01-23 17:45:00+01:00,sell,0.20944739819829444,74.25,2022-01-24 08:30:00+01:00,3.8878673290558408
2022-01-23 17:45:00+01:00,sell,5.551115123125783e-17,95.31,2022-01-24 09:00:00+01:00,1.322691955962796e-15
2022-01-23 18:00:00+01:00,buy,0.5,80.61,2022-01-24 02:45:00+01:00,-10.07625
2022-01-23 18:00:00+01:00,buy,0.31331092813761646,26.74,2022-01-24 04:00:00+01:00,-2.094483554599966
2022-01-23 18:00:00+01:00,sell,0.31331092813761646,50.26,2022-01-24 08:00:00+01:00,3.9367518120491507
2022-01-23 18:00:00+01:00,buy,4.163336342344337e-16,80.64,2022-01-24 08:30:00+01:00,-8.393286066166183e-15
2022-01-23 18:00:00+01:00,buy,1.1102230246251565e-16,99.27,2022-01-24 09:00:00+01:00,-2.755295991363482e-15
2022-01-23 18:00:00+01:00,sell,0.5,86.94,2022-01-24 10:30:00+01:00,10.8675
2022-01-23 18:15:00+01:00,sell,0.20944739819829516,71.65,2022-01-24 03:00:00+01:00,3.7517265202269625
2022-01-23 18:15:00+01:00,buy,0.20944739819829403,65.99,2022-01-24 08:30:00+01:00,-3.4553584517763554
2022-01-23 18:15:00+01:00,sell,5.551115123125783e-17,99.27,2022-01-24 09:00:00+01:00,1.377647995681741e-15
2022-01-23 18:30:00+01:00,buy,0.5,25.29,2022-01-24 01:45:00+01:00,-3.16125
2022-01-23 18:30:00+01:00,sell,0.5,41.35,2022-01-24 03:15:00+01:00,5.16875
2022-01-23 18:30:00+01:00,sell,0.9999999999999993,88.97,2022-01-24 07:45:00+01:00,22.242499999999986
2022-01-23 18:30:00+01:00,buy,0.5,30.54,2022-01-24 08:00:00+01:00,-3.8175
2022-01-23 18:30:00+01:00,buy,0.49999999999999994,56.64,2022-01-24 09:00:00+01:00,-7.079999999999999
2022-01-23 18:45:00+01:00,sell,0.5,35.21,2022-01-24 02:00:00+01:00,4.40125
2022-01-23 18:45:00+01:00,buy,0.20944739819829516,42.49,2022-01-24 03:00:00+01:00,-2.2248549873613905
2022-01-23 18:45:00+01:00,buy,0.4999999999999993,30.85,2022-01-24 06:30:00+01:00,-3.8562499999999944
2022-01-23 18:45:00+01:00,sell,0.5,94.04,2022-01-24 08:30:00+01:00,11.755
2022-01-23 18:45:00+01:00,buy,0.29055260180170595,57.15,2022-01-24 10:30:00+01:00,-4.151270298241873
2022-01-23 19:00:00+01:00,buy,0.5,43.74,2022-01-24 04:45:00+01:00,-5.4675
2022-01-23 19:00:00+01:00,sell,0.4999999999999993,62.74,2022-01-24 06:30:00+01:00,7.842499999999989
2022-01-23 19:00:00+01:00,buy,0.2905526018017054,80.64,2022-01-24 07:45:00+01:00,-5.857540452322381
2022-01-23 19:00:00+01:00,sell,0.5,92.79,2022-01-24 08:15:00+01:00,11.59875
2022-01-23 19:00:00+01:00,buy,0.5,22.82,2022-01-24 08:45:00+01:00,-2.8525
2022-01-23 19:00:00+01:00,sell,0.5,93.16,2022-01-24 10:15:00+01:00,11.645
2022-01-23 19:00:00+01:00,buy,0.20944739819829405,57.15,2022-01-24 10:30:00+01:00,-2.992479701758126
2022-01-23 19:15:00+01:00,sell,0.3133109281376165,52.14,2022-01-24 04:00:00+01:00,4.084007948273832
2022-01-23 19:15:00+01:00,sell,0.18668907186238354,35.17,2022-01-24 04:15:00+01:00,1.6414636643500073
2022-01-23 19:15:00+01:00,buy,0.5,21.62,2022-01-24 06:15:00+01:00,-2.7025
2022-01-23 19:15:00+01:00,buy,0.20944739819829472,80.64,2022-01-24 07:45:00+01:00,-4.222459547677621
2022-01-23 19:15:00+01:00,buy,0.29055260180170595,92.79,2022-01-24 08:15:00+01:00,-6.740093980295074
2022-01-23 19:15:00+01:00,sell,0.5,96.26,2022-01-24 09:00:00+01:00,12.0325
2022-01-23 19:30:00+01:00,sell,0.5,43.45,2022-01-24 01:15:00+01:00,5.43125
2022-01-23 19:30:00+01:00,buy,0.4999999999999993,23.02,2022-01-24 02:15:00+01:00,-2.877499999999996
2022-01-23 19:30:00+01:00,buy,0.5,48.76,2022-01-24 04:30:00+01:00,-6.095
2022-01-23 19:30:00+01:00,sell,0.5,85.84,2022-01-24 11:30:00+01:00,10.73
2022-01-23 19:45:00+01:00,buy,0.5,70.89,2022-01-24 09:00:00+01:00,-8.86125
2022-01-23 19:45:00+01:00,sell,0.5,96.81,2022-01-24 11:45:00+01:00,12.10125
2022-01-23 20:00:00+01:00,sell,0.5,54.7,2022-01-24 01:00:00+01:00,6.8375
2022-01-23 20:00:00+01:00,sell,0.4999999999999296,78.49,2022-01-24 01:30:00+01:00,9.811249999998617
2022-01-23 20:00:00+01:00,buy,0.5,36.64,2022-01-24 02:45:00+01:00,-4.58
2022-01-23 20:00:00+01:00,buy,0.5,29.41,2022-01-24 03:15:00+01:00,-3.67625
2022-01-23 20:00:00+01:00,sell,0.31331092813761646,58.4,2022-01-24 04:15:00+01:00,4.5743395508092
